
NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
PowerRide                                          Suzuki                                             Jan Dabrowski                                                                                                                    75         18
PowerRide                                          CFMoto                                             Tomasz Kaminski                                                                                                                  74         19
PowerRide                                          Aeon                                               Katarzyna Wozniak                                                                                                                73         20
PowerRide                                          Aeon                                               Piotr Zielinski                                                                                                                  73         20
PowerRide                                          Keeway                                             Jan Dabrowski                                                                                                                    72         21
PowerRide                                          Keeway                                             Tomasz Zielinski                                                                                                                 71         22
PowerRide                                          CFMoto                                             Tomasz Wojcik                                                                                                                    70         23
PowerRide                                          CFMoto                                             Piotr Zielinski                                                                                                                  70         23
PowerRide                                          Suzuki                                             Piotr Wozniak                                                                                                                    70         23
PowerRide                                          Rieju                                              Piotr Wozniak                                                                                                                    69         24
PowerRide                                          Rieju                                              Katarzyna Dabrowski                                                                                                              67         25

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
PowerRide                                          CFMoto                                             Maria Wozniak                                                                                                                    67         25
PowerRide                                          CFMoto                                             Jan Dabrowski                                                                                                                    67         25
PowerRide                                          Keeway                                             Piotr Zielinski                                                                                                                  67         25
PowerRide                                          Super Soco                                         Maria Wozniak                                                                                                                    66         26
PowerRide                                          Aeon                                               Jan Dabrowski                                                                                                                    65         27
PowerRide                                          Keeway                                             Tomasz Kaminski                                                                                                                  65         27
PowerRide                                          Rieju                                              Anna Kowalski                                                                                                                    65         27
PowerRide                                          Suzuki                                             Maria Wozniak                                                                                                                    65         27
PowerRide                                          Rieju                                              Katarzyna Wozniak                                                                                                                65         27
PowerRide                                          Peugeot                                            Maria Wozniak                                                                                                                    65         27
PowerRide                                          Peugeot                                            Katarzyna Dabrowski                                                                                                              64         28

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
PowerRide                                          CFMoto                                             Katarzyna Dabrowski                                                                                                              64         28
PowerRide                                          Suzuki                                             Tomasz Zielinski                                                                                                                 63         29
PowerRide                                          CFMoto                                             Piotr Wozniak                                                                                                                    63         29
PowerRide                                          Suzuki                                             Tomasz Kaminski                                                                                                                  63         29
PowerRide                                          Super Soco                                         Jan Dabrowski                                                                                                                    62         30
PowerRide                                          Keeway                                             Piotr Wozniak                                                                                                                    62         30
PowerRide                                          Peugeot                                            Piotr Zielinski                                                                                                                  61         31
PowerRide                                          Keeway                                             Katarzyna Wozniak                                                                                                                60         32
PowerRide                                          Super Soco                                         Anna Kowalski                                                                                                                    60         32
PowerRide                                          Aeon                                               Katarzyna Dabrowski                                                                                                              59         33
PowerRide                                          Rieju                                              Maria Wozniak                                                                                                                    59         33

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
PowerRide                                          Rieju                                              Jan Dabrowski                                                                                                                    59         33
PowerRide                                          TGB                                                Jan Dabrowski                                                                                                                    59         33
PowerRide                                          Rieju                                              Tomasz Wojcik                                                                                                                    59         33
PowerRide                                          Super Soco                                         Tomasz Zielinski                                                                                                                 58         34
PowerRide                                          TGB                                                Tomasz Kaminski                                                                                                                  57         35
PowerRide                                          Super Soco                                         Katarzyna Dabrowski                                                                                                              57         35
PowerRide                                          Suzuki                                             Piotr Zielinski                                                                                                                  56         36
PowerRide                                          Bajaj                                              Katarzyna Wozniak                                                                                                                56         36
PowerRide                                          Suzuki                                             Katarzyna Wozniak                                                                                                                56         36
PowerRide                                          Peugeot                                            Anna Kowalski                                                                                                                    56         36
PowerRide                                          Ducati                                             Maria Wozniak                                                                                                                    55         37

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
PowerRide                                          Super Soco                                         Tomasz Kaminski                                                                                                                  55         37
PowerRide                                          Rieju                                              Tomasz Zielinski                                                                                                                 55         37
PowerRide                                          Aprilia                                            Piotr Zielinski                                                                                                                  54         38
PowerRide                                          Rieju                                              Tomasz Kaminski                                                                                                                  54         38
PowerRide                                          Peugeot                                            Tomasz Kaminski                                                                                                                  54         38
PowerRide                                          Keeway                                             Tomasz Wojcik                                                                                                                    54         38
PowerRide                                          Aeon                                               Piotr Wozniak                                                                                                                    53         39
PowerRide                                          Ducati                                             Piotr Wozniak                                                                                                                    53         39
PowerRide                                          Super Soco                                         Piotr Wozniak                                                                                                                    52         40
PowerRide                                          Suzuki                                             Tomasz Wojcik                                                                                                                    52         40
PowerRide                                          Rieju                                              Piotr Zielinski                                                                                                                  51         41

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
PowerRide                                          Peugeot                                            Piotr Wozniak                                                                                                                    51         41
PowerRide                                          Ducati                                             Tomasz Zielinski                                                                                                                 51         41
PowerRide                                          Super Soco                                         Tomasz Wojcik                                                                                                                    51         41
PowerRide                                          Ducati                                             Piotr Zielinski                                                                                                                  50         42
PowerRide                                          Ducati                                             Jan Dabrowski                                                                                                                    50         42
PowerRide                                          Super Soco                                         Katarzyna Wozniak                                                                                                                50         42
PowerRide                                          TGB                                                Tomasz Wojcik                                                                                                                    50         42
PowerRide                                          Bajaj                                              Tomasz Kaminski                                                                                                                  49         43
PowerRide                                          Bajaj                                              Anna Kowalski                                                                                                                    49         43
PowerRide                                          TGB                                                Maria Wozniak                                                                                                                    48         44
PowerRide                                          E-Twow                                             Maria Wozniak                                                                                                                    48         44

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
PowerRide                                          Suzuki                                             Katarzyna Dabrowski                                                                                                              48         44
PowerRide                                          Peugeot                                            Jan Dabrowski                                                                                                                    48         44
PowerRide                                          E-Twow                                             Katarzyna Wozniak                                                                                                                48         44
PowerRide                                          Aprilia                                            Jan Dabrowski                                                                                                                    48         44
PowerRide                                          Bajaj                                              Piotr Zielinski                                                                                                                  46         45
PowerRide                                          TGB                                                Anna Kowalski                                                                                                                    46         45
PowerRide                                          TGB                                                Katarzyna Dabrowski                                                                                                              46         45
PowerRide                                          Peugeot                                            Tomasz Zielinski                                                                                                                 46         45
PowerRide                                          Bajaj                                              Tomasz Zielinski                                                                                                                 46         45
PowerRide                                          Ducati                                             Tomasz Wojcik                                                                                                                    46         45
PowerRide                                          E-Twow                                             Jan Dabrowski                                                                                                                    45         46

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
PowerRide                                          Bajaj                                              Maria Wozniak                                                                                                                    44         47
PowerRide                                          TGB                                                Katarzyna Wozniak                                                                                                                44         47
PowerRide                                          Peugeot                                            Katarzyna Wozniak                                                                                                                44         47
PowerRide                                          Aprilia                                            Katarzyna Wozniak                                                                                                                44         47
PowerRide                                          E-Twow                                             Piotr Zielinski                                                                                                                  42         48
PowerRide                                          Ducati                                             Anna Kowalski                                                                                                                    42         48
PowerRide                                          Super Soco                                         Piotr Zielinski                                                                                                                  42         48
PowerRide                                          Bajaj                                              Katarzyna Dabrowski                                                                                                              41         49
PowerRide                                          Aprilia                                            Maria Wozniak                                                                                                                    41         49
PowerRide                                          Aprilia                                            Katarzyna Dabrowski                                                                                                              41         49
PowerRide                                          Bajaj                                              Jan Dabrowski                                                                                                                    41         49

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
PowerRide                                          Ducati                                             Tomasz Kaminski                                                                                                                  41         49
PowerRide                                          TGB                                                Piotr Wozniak                                                                                                                    41         49
PowerRide                                          Honda                                              Anna Kowalski                                                                                                                    40         50
PowerRide                                          Aprilia                                            Piotr Wozniak                                                                                                                    40         50
PowerRide                                          TGB                                                Tomasz Zielinski                                                                                                                 40         50
PowerRide                                          Aprilia                                            Tomasz Wojcik                                                                                                                    40         50
PowerRide                                          Malaguti                                           Tomasz Kaminski                                                                                                                  39         51
PowerRide                                          Bajaj                                              Piotr Wozniak                                                                                                                    39         51
PowerRide                                          Aprilia                                            Tomasz Kaminski                                                                                                                  38         52
PowerRide                                          Aprilia                                            Anna Kowalski                                                                                                                    38         52
PowerRide                                          Malaguti                                           Piotr Zielinski                                                                                                                  37         53

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
PowerRide                                          E-Twow                                             Tomasz Kaminski                                                                                                                  37         53
PowerRide                                          Gogoro                                             Katarzyna Wozniak                                                                                                                37         53
PowerRide                                          E-Twow                                             Katarzyna Dabrowski                                                                                                              37         53
PowerRide                                          Peugeot                                            Tomasz Wojcik                                                                                                                    36         54
PowerRide                                          E-Twow                                             Tomasz Zielinski                                                                                                                 36         54
PowerRide                                          E-Twow                                             Tomasz Wojcik                                                                                                                    36         54
PowerRide                                          Gogoro                                             Piotr Zielinski                                                                                                                  35         55
PowerRide                                          E-Twow                                             Anna Kowalski                                                                                                                    35         55
PowerRide                                          Malaguti                                           Katarzyna Wozniak                                                                                                                35         55
PowerRide                                          Malaguti                                           Piotr Wozniak                                                                                                                    35         55
PowerRide                                          Aprilia                                            Tomasz Zielinski                                                                                                                 35         55

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
PowerRide                                          Gogoro                                             Anna Kowalski                                                                                                                    34         56
PowerRide                                          Gogoro                                             Piotr Wozniak                                                                                                                    34         56
PowerRide                                          Malaguti                                           Tomasz Wojcik                                                                                                                    34         56
PowerRide                                          Malaguti                                           Anna Kowalski                                                                                                                    34         56
PowerRide                                          Honda                                              Maria Wozniak                                                                                                                    33         57
PowerRide                                          Bajaj                                              Tomasz Wojcik                                                                                                                    33         57
PowerRide                                          Ducati                                             Katarzyna Dabrowski                                                                                                              33         57
PowerRide                                          Gogoro                                             Jan Dabrowski                                                                                                                    33         57
PowerRide                                          Sym                                                Katarzyna Dabrowski                                                                                                              33         57
PowerRide                                          E-Twow                                             Piotr Wozniak                                                                                                                    33         57
PowerRide                                          Malaguti                                           Maria Wozniak                                                                                                                    32         58

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
PowerRide                                          Gogoro                                             Tomasz Zielinski                                                                                                                 32         58
PowerRide                                          Gogoro                                             Tomasz Kaminski                                                                                                                  32         58
PowerRide                                          Moto Guzzi                                         Piotr Wozniak                                                                                                                    32         58
PowerRide                                          Malaguti                                           Jan Dabrowski                                                                                                                    32         58
PowerRide                                          Kawasaki                                           Piotr Wozniak                                                                                                                    32         58
PowerRide                                          Moto Guzzi                                         Piotr Zielinski                                                                                                                  31         59
PowerRide                                          Malaguti                                           Katarzyna Dabrowski                                                                                                              31         59
PowerRide                                          Gogoro                                             Katarzyna Dabrowski                                                                                                              31         59
PowerRide                                          Moto Guzzi                                         Tomasz Kaminski                                                                                                                  31         59
PowerRide                                          Gogoro                                             Tomasz Wojcik                                                                                                                    31         59
PowerRide                                          Honda                                              Tomasz Zielinski                                                                                                                 30         60

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
